ID,Step
1,"Heat the oven to 200C/  Gas mark 6. Start by making the tomato sauce: gently fry the garlic in olive oil until it is just starting to colour, then add the tomatoes and basil. Season with salt and pepper. Simmer until the sauce is thick and rich; around 20 minutes (longer if your tinned tomatoes are very watery)."
1,"Divide the sauce between individual gratin dishes, or alternatively put it all into the bottom of a large dish. Now arrange overlapping layers of courgette and tomato, and then a sprinkle of cheese. Repeat with more layers until the dishes are full, finishing with a layer of cheese on top."
1,"Place in the oven and bake, with the lid on (use foil if you don’t have a lid), for 20 minutes. Remove the lid and bake for a further 20 minutes, or until golden and crispy on top."
,
2,Place a large pot over a medium heat and fry the bacon until it starts to go crispy. Then add the onion and garlic and fry until soft.
2,"Now add the tomatoes, flageolet beans, pesto and a good sprinke of black pepper. Bring to the boil and simmer gently, with the lid on for 15 minutes."
2,"Add the courgettes, and simmer uncovered until they are tender; 5-10 minutes. Brilliant served with crusty white bread, or jacket potatoes."
,
3,"To make the dressing, get a shallow bowl and whisk in it the Dijon mustard, garlic and vinegar. Then gradually whisk in the oil to make an emulsified dressing. Season to taste with sea salt and freshly ground black pepper. Set aside."
3,"Now arrange the tomatoes on a plate and scatter over the shallots and capers. Sprinkle lightly with salt and pepper. Whisk a little water into the dressing to thin it out a bit, then drizzle over the salad, topping it off with a sprinkle of parsley."
,
4,"Firstly, in large deep pan, fry the bacon in olive oil until slightly crispy. Then add the onion, garlic, celery and carrot and fry gently with the lid slightly on for around 15mins until nice and soft. This intensifies all the flavours and makes an excellent base for the soup."
4,"Now add to the pan the tomatoes, courgettes and red wine, bring to the boil and simmer for another 10 mins or so."
4,"Add the spinach, stock, beans and pasta. Continue to simmer until the pasta is cooked. If the soup seems too thick, you can add more stock."
,
5,"Preheat the oven to 190/Gas mark 5. While the oven is heating; peel and chop your butternut squash. Toss in a roasting tray with a glug of olive oil and some salt and pepper and pop in the oven for 30 minutes. In the meantime, get on with the risotto."
5,"Heat a couple of good glugs of olive oil in a wide-based, deep pan. Add the onion, garlic and celery and gently fry over a low heat with the lid on -slightly ajar- for about 15 minutes."
5,Heat your stock and have it simmering in a pan next to your risotto pan.
5,"Prepare the chanterelles: heat a large saucepan until it is very hot, then throw in the chanterelles and toss them until they are tender - this will only take a minute or so. The mushrooms must sit in a single layer in the pan - do them in batches if need be. Toss them in a bowl with some salt and pepper and set aside."
5,"Add the risotto rice, turn up the heat a bit, and stir and cook for a minute. Add the wine, and stir until the liquid has been absorbed. Now add the stock, a ladleful at a time, stirring until each one has been absorbed before adding the next. You must stir frequently to prevent it sticking to the bottom of the pan and to slowly massage the starch out of the rice, creating a beautiful creamy sauce."
,
6,"In a wide-based pot, gently fry the finely chopped onion, garlic, ginger and chilli over a low heat for about 10 minutes until the onion is soft."
6,"Add the tomatoes and the sliced onion and cook through for about 2 minutes. Add the spices, and cook for a minute. "
6,"Now add the lamb mince, turn the heat up and stir constantly until the meat is uniformly browned."
6,"Turn the heat down, and let it all simmer gently whilst you prepare your potatoes. Peel them, then chop them into approximately 1 inch cubes. Try to get the size constant, so that they cook at the same rate."
6,"Add the potatoes to the pot, along with the water. Place the lid on, and simmer for 20-30 minutes, or until the potatoes are tender."
6,"Just before serving, roughly chop the coriander and add it to the pot. Heat through and serve."
,
7,To prepare the yeast: blend the fresh yeast in the warm water. Alternatively dissolve 1 teaspoon of caster sugar in the water and then sprinkle in 1.5 teaspoons of dried yeast. Leave for about 10 minutes or until the mixture is frothy.
7,Melt the butter and set aside.
7,"Mix the plain white flour with the salt in a bowl. Add the yeast mixture and the melted butter and mix to form a dough. Turn onto a floured work surface and knead for about 10 minutes, or until smooth and elastic."
7,"Place the dough in an oiled plastic bag and leave to rise for about 1 hour, or until it has doubled in size."
7,Knock the air out of the risen dough by kneading again for 2 minutes or until it is firm. Cover and leave to rest for 5 minutes.
7,"On a floured surface, roll the dough out to 1cm thickness. Cover again and leave for 5 minutes."
7,"With a plain cutter, cut the dough into approx. 9cm rounds. Place on a well floured baking sheet and dust the tops with fine semolina or polenta. Cover and prove in a warm place until they have doubled in size - about 20-30 minutes."
7,"To cook: heat a griddle, or heavy frying pan and grease it lightly. Cook the muffins for about 3 minutes on each side, until golden brown. Place on a wire rack to cool."
,
8,Heat the butter in a saucepan and add the onions and garlic. Cook gently for about 5 minutes without colouring.
8,"Add the curry powder and red chilli, along with the stock, and bring to the boil."
8,"Add the parsnips, potato and coconut and simmer with the lid on for 20-25 minutes or until the vegetables are tender."
8,Liquidise until smooth with a blender.
8,"For garnish: try a swirl of double cream, and a sprinkle of smoked paprika. Or finely chopped red pepper and chives."
,
9,Slice the onions and put them into a large pot along with all of the remaining ingredients.
9,"Bring to the boil and simmer with the lid off for 2-3 hours, depending on how fluid you want your chutney to be."
9,"If you want a well-set product, test it by spooning some of the liquid onto a saucer in the fridge and leave it for 5 minutes."
9,"When it has finished simmering, remove from the heat and let it cool before spooning into jam jars and store."
,
10,"Grind the annatto seeds, cumin seeds, peppercorns, cloves and allspice in a spice grinder until a fine powder is achieved."
10,"Put the spices into a large bowl in which you will marinate the meat. Add the remaining ingredients to the bowl, including the chunks of pork, and mix well. "
10,"Leave to marinate for 4-6 hours, preferably overnight."
10,"Heat an oven to 165C/Gas mark 3. Line a roasting tin with banana leaves, if available. Pour in the meat along with the marinate, cover and cook for 4 hours. Just before serving, remove from oven and sprinkle over another tablespoon of dark brown sugar."
10,Serve with fluffy white rice.
,
11,Put the kettle on to boil for the pasta. Fry the bacon in olive oil in a large frying pan or pot (it will need to be big enough to mix the pasta and the sauce together before serving).
11,"Get a pan of boiling water, add plenty of salt and a glug of olive oil and keep it simmering."
11,"When the bacon just starts to turn crispy, add the spaghetti to the boiling water."
11,"When the bacon is nice and crispy, add the onion and garlic to the pan along with a knob of butter. Turn down the heat and leave to cook gently."
11,"Now make your sauce: in a jug, whisk the eggs, cream, parmesan and black pepper. "
